"time_kyr_j2000","age_ma","eccentricity","obliquity_rad","precession_angle_rad","longitude_perihelion_rad","climatic_precession"
-53007,53.007,0.00805286255320063,0.399884328756628,0.428897796095393,-15443.6460332823,0.00329972608134354
-53006,53.006,0.00746723692333812,0.401577973322288,0.176041737160174,-15443.3445884985,0.00494189615693892
-53005,53.005,0.0068399614948648,0.403360966899571,-0.0758919749354311,-15443.0446592531,0.00583171009359454
-53004,53.004,0.00618587004456976,0.405177391311681,-0.326915923494034,-15442.7423398137,0.0060022051338456
-53003,53.003,0.00555519894064074,0.406972272357728,-0.576986118128338,-15442.4479436817,0.00554028486197025
-53002,53.002,0.00487660290568358,0.408693661574086,-0.826196275285029,-15442.1452594267,0.00457234226053024
-53001,53.001,0.00417593702015503,0.410288563274679,-1.07456345712716,-15441.851023262,0.00332951725045684
-53000,53,0.00347880754151838,0.411713184593869,-1.32219780534855,-15441.5544742946,0.0020421507029054
-52999,52.999,0.00274940595828415,0.412925548830769,-1.56919328342432,-15441.2569784405,0.000894191216287723
-52998,52.998,0.00200864504072727,0.413893072254778,-1.81567399074421,-15440.9456971291,4.25108007779114e-05
-52997,52.997,0.00123920645703927,0.414591683404866,-2.06177411326263,-15440.6532201853,-0.000327287590758733
-52996,52.996,0.000487325026935019,0.415001874073963,-2.30763587441126,-15440.2920326117,-0.000279588200472889
-52995,52.995,0.0003161771568719,0.415118060140701,-2.55340220207228,-15437.1395189127,0.000200366846718389
-52994,52.994,0.00110743537128193,0.414940582663887,-2.79922497891105,-15436.6714416092,0.000997188137234437
-52993,52.993,0.00190370362150928,0.414481062900102,-3.0452427778485,-15436.3630106161,0.00188175375686869
-52992,52.992,0.00270600065560205,0.413754654531566,2.99158630148474,-15436.0635464219,0.00266949661161382
-52991,52.991,0.00352983595208641,0.412789515635813,2.74477430056579,-15435.7650240326,0.00317139188707089
-52990,52.99,0.00433697364525073,0.411619907483874,2.49739034431106,-15435.4636107324,0.00316062035597068
-52989,52.989,0.0051331601840057,0.410282816134742,2.24933708696205,-15435.1654455766,0.00254242672545671
-52988,52.988,0.00596477504625171,0.408824263571166,2.00055300830156,-15434.8697015546,0.00132491543704365
-52987,52.987,0.00677728615672588,0.407288472217633,1.75096898124542,-15434.5637468441,-0.000555501406448551
-52986,52.986,0.00758652308723181,0.405727118942869,1.50057038622762,-15434.2624019217,-0.00283385096770459
-52985,52.985,0.00839096269759636,0.404188388272585,1.24934675731166,-15433.961249651,-0.00529601364641028
-52984,52.984,0.00920119359977352,0.402722389744334,0.997315687451095,-15433.6568979584,-0.00767373248419067
-52983,52.983,0.00997835833251132,0.401375282257636,0.744538377256473,-15433.3512660334,-0.00958769590313915
-52982,52.982,0.0107459404690264,0.40019241365404,0.491077363932664,-15433.0481985187,-0.0107270825490747
-52981,52.981,0.0115220020695836,0.39920942123627,0.237035739901864,-15432.7416505877,-0.0108730822471658
-52980,52.98,0.012253614562873,0.398454768788955,-0.0174563958268256,-15432.436524995,-0.00984218317706667
-52979,52.979,0.0130132564336674,0.397957303763016,-0.272283651093166,-15432.128429347,-0.00759538445373551
-52978,52.978,0.0137302264373063,0.397718072333701,-0.527277974938142,-15431.8240761152,-0.00432499150697416
-52977,52.977,0.0144812561491025,0.397751134632078,-0.782307660518329,-15431.5157132632,-0.000172608581374201
-52976,52.976,0.0151481088318744,0.398038948027501,-1.03721393097573,-15431.2084482317,0.00439875004738835
-52975,52.975,0.0158289742936473,0.398575340277916,-1.29186275934146,-15430.9043609187,0.00891223009516363
-52974,52.974,0.016485596530567,0.399326983059518,-1.54613621408994,-15430.5982279379,0.0129557011174419
-52973,52.973,0.0171204077174354,0.400271382310966,-1.79991349193183,-15430.2938419358,0.0159861155993946
-52972,52.972,0.0177026659158109,0.401364515016335,-2.05313675267768,-15429.9901847289,0.0176572916132016
-52971,52.971,0.0183059624509324,0.402574713295952,-2.30571868841509,-15429.6880302849,0.017734640514748
-52970,52.97,0.0188587334140798,0.403856735724288,-2.55763320048467,-15429.3853893352,0.0160726315598236
-52969,52.969,0.0193900954977909,0.405169614055576,-2.80887552599332,-15429.084867137,0.012828025004816
-52968,52.968,0.0198853660470827,0.406471466382858,-3.05941829921817,-15428.7850882341,0.00815469321549367
-52967,52.967,0.0203664225287079,0.407722294962741,2.97386924122517,-15428.4859803121,0.00251891213413065
-52966,52.966,0.0207887022429465,0.408886937797621,2.72456692302371,-15428.18669329,-0.00361563855585399
-52965,52.965,0.0212131544274804,0.409926166062378,2.47582101181641,-15427.8908200629,-0.00960514202428708
-52964,52.964,0.0215801365815966,0.410821663414613,2.22752741362227,-15427.5939475634,-0.0149836072412255
-52963,52.963,0.0219694211435108,0.41154007222953,1.97962030577522,-15427.2987266457,-0.0191667928902033
-52962,52.962,0.0222767106153709,0.412074902874296,1.73199198233046,-15427.0034753343,-0.0217531007387853
-52961,52.961,0.0225871139957081,0.412410556826875,1.48454939230233,-15426.7106480876,-0.0224946806048819
-52960,52.96,0.0228648604924892,0.412542249143702,1.23719339940248,-15426.4161639909,-0.0212456832253332
-52959,52.959,0.0230736217493252,0.412478460586735,0.989824375890574,-15426.1236756075,-0.0181212146599491
-52958,52.958,0.0232959375208206,0.412216249001349,0.742348114113599,-15425.831140707,-0.013344409815348
-52957,52.957,0.0234674263198979,0.411780136673353,0.494684373998634,-15425.5390689393,-0.00736086634919757
-52956,52.956,0.0236274152320355,0.411174688368064,0.24674352606878,-15425.2470163055,-0.000637483737480715
-52955,52.955,0.0237261451065948,0.410430811946345,-0.00152642414995764,-15424.9555670394,0.00619877582905467
-52954,52.954,0.0238493246625955,0.409560691025089,-0.250204864463439,-15424.664818314,0.0125470375717597
-52953,52.953,0.0239382530816077,0.408597614247721,-0.499314893238149,-15424.3732200356,0.0179091244644075
-52952,52.952,0.0239789888930505,0.40756292217019,-0.748896769949934,-15424.0827742713,0.0217396172295011
-52951,52.951,0.0240129898322336,0.406483449208078,-0.998984333406352,-15423.7918237448,0.0237279543115012
-52950,52.95,0.0240606749546382,0.405384471929927,-1.24956078963125,-15423.5012933876,0.0237926487288314
-52949,52.949,0.0240231300121192,0.404291872395056,-1.50065558212114,-15423.2104292585,0.0217132717165918
-52948,52.948,0.0239703668971202,0.403226666185439,-1.75222867290753,-15422.9207965828,0.0178784466735606
-52947,52.947,0.0239514231785497,0.402213611807669,-2.00428198447896,-15422.6315897966,0.0125716696068582
-52946,52.946,0.0238726404706339,0.401271801946055,-2.25677631133112,-15422.340912267,0.00619199062059562
