Bowen_Soil_ID,Bowen_Sample_ID,MLA_sample_id,MLA_horizon_id,strat_height_m,d13C_VPDB,d18Ocarb_VPDB,d18Ocarb_VSMOW
PB-00-03-08,2B,PB-00-03-08-2B,PB-00-03-08,1494.4,-9.7,-9.4,21.229352
PB-00-03-10,2B,PB-00-03-10-2B,PB-00-03-10,1495.4,-9.1,-8.1,22.569548
PB-00-03-10,1A,PB-00-03-10-1A,PB-00-03-10,1495.4,-9.8,-8.7,21.950996
PB-00-03-10,1B,PB-00-03-10-1B,PB-00-03-10,1495.4,-9.4,-9,21.64172
PB-00-03-10,2A,PB-00-03-10-2A,PB-00-03-10,1495.4,-9.4,-7.9,22.775732
PB-00-03-11,1A,PB-00-03-11-1A,PB-00-03-11,1498.5,-10.1,-9.7,20.920076
PB-00-03-11,1B,PB-00-03-11-1B,PB-00-03-11,1498.5,-10,-9.7,20.920076
PB-00-03-11,2A,PB-00-03-11-2A,PB-00-03-11,1498.5,-9.8,-9.6,21.023168
PB-00-03-11,2B,PB-00-03-11-2B,PB-00-03-11,1498.5,-9.6,-9.6,21.023168
PB-00-03-12,1A,PB-00-03-12-1A,PB-00-03-12,1499.7,-10,-7.9,22.775732
PB-00-03-12,1B,PB-00-03-12-1B,PB-00-03-12,1499.7,-9.9,-7.6,23.085008
PB-00-03-12,2A,PB-00-03-12-2A,PB-00-03-12,1499.7,-11.3,-8.3,22.363364
PB-00-03-12,2B,PB-00-03-12-2B,PB-00-03-12,1499.7,-11.2,-8.3,22.363364
PB-00-03-13,1A,PB-00-03-13-1A,PB-00-03-13,1500.3,-10.5,-8.9,21.744812
PB-00-03-13,1B,PB-00-03-13-1B,PB-00-03-13,1500.3,-10.2,-8.9,21.744812
