T47_C,d18Owater_vsmow,d18Ocarb_vsmow,contour_label
43.5,-15,9.450578470280675,starting d18Ow = -15 per mil
43.5,-10,14.57469308180498,starting d18Ow = -10 per mil
43.5,-5,19.698807693329286,starting d18Ow = -5 per mil
43.5,0,24.82292230485359,starting d18Ow = 0 per mil
43.5,5,29.947036916377783,starting d18Ow = 5 per mil
43.5,10,35.071151527901975,starting d18Ow = 10 per mil
44,-15,9.359966183363213,starting d18Ow = -15 per mil
44,-10,14.483620834040266,starting d18Ow = -10 per mil
44,-5,19.607275484717206,starting d18Ow = -5 per mil
44,0,24.730930135394146,starting d18Ow = 0 per mil
44,5,29.8545847860712,starting d18Ow = 5 per mil
44,10,34.97823943674803,starting d18Ow = 10 per mil
44.5,-15,9.269647250058142,starting d18Ow = -15 per mil
44.5,-10,14.392843428992364,starting d18Ow = -10 per mil
44.5,-5,19.5160396079267,starting d18Ow = -5 per mil
44.5,0,24.639235786861036,starting d18Ow = 0 per mil
44.5,5,29.76243196579526,starting d18Ow = 5 per mil
44.5,10,34.88562814472971,starting d18Ow = 10 per mil
45,-15,9.179620248446781,starting d18Ow = -15 per mil
45,-10,14.302359437525183,starting d18Ow = -10 per mil
45,-5,19.425098626603585,starting d18Ow = -5 per mil
45,0,24.547837815681987,starting d18Ow = 0 per mil
45,5,29.67057700476039,starting d18Ow = 5 per mil
45,10,34.79331619383879,starting d18Ow = 10 per mil
45.5,-15,9.089883765783497,starting d18Ow = -15 per mil
45.5,-10,14.212167439721497,starting d18Ow = -10 per mil
45.5,-5,19.334451113659497,starting d18Ow = -5 per mil
45.5,0,24.456734787597497,starting d18Ow = 0 per mil
45.5,5,29.579018461535497,starting d18Ow = 5 per mil
45.5,10,34.7013021354735,starting d18Ow = 10 per mil
46,-15,9.000436398420788,starting d18Ow = -15 per mil
46,-10,14.12226602480871,starting d18Ow = -10 per mil
46,-5,19.24409565119663,starting d18Ow = -5 per mil
46,0,24.365925277584438,starting d18Ow = 0 per mil
46,5,29.487754903972473,starting d18Ow = 5 per mil
46,10,34.60958453036028,starting d18Ow = 10 per mil
46.5,-15,8.911276751736523,starting d18Ow = -15 per mil
46.5,-10,14.032653791085522,starting d18Ow = -10 per mil
46.5,-5,19.154030830434408,starting d18Ow = -5 per mil
46.5,0,24.275407869783294,starting d18Ow = 0 per mil
46.5,5,29.396784909132293,starting d18Ow = 5 per mil
46.5,10,34.518161948481065,starting d18Ow = 10 per mil
47,-15,8.822403440063113,starting d18Ow = -15 per mil
47,-10,13.943329345850316,starting d18Ow = -10 per mil
47,-5,19.064255251637405,starting d18Ow = -5 per mil
47,0,24.185181157424495,starting d18Ow = 0 per mil
47,5,29.306107063211584,starting d18Ow = 5 per mil
47,10,34.427032968998674,starting d18Ow = 10 per mil
47.5,-15,8.733815086612594,starting d18Ow = -15 per mil
47.5,-10,13.854291305326456,starting d18Ow = -10 per mil
47.5,-5,18.974767524040203,starting d18Ow = -5 per mil
47.5,0,24.095243742754064,starting d18Ow = 0 per mil
47.5,5,29.215719961467812,starting d18Ow = 5 per mil
47.5,10,34.33619618018156,starting d18Ow = 10 per mil
48,-15,8.645510323408985,starting d18Ow = -15 per mil
48,-10,13.765538294593853,starting d18Ow = -10 per mil
48,-5,18.885566265778607,starting d18Ow = -5 per mil
48,0,24.00559423696336,starting d18Ow = 0 per mil
48,5,29.125622208148343,starting d18Ow = 5 per mil
48,10,34.2456501793331,starting d18Ow = 10 per mil
48.5,-15,8.557487791215294,starting d18Ow = -15 per mil
48.5,-10,13.677068947515977,starting d18Ow = -10 per mil
48.5,-5,18.796650103816546,starting d18Ow = -5 per mil
48.5,0,23.916231260117115,starting d18Ow = 0 per mil
48.5,5,29.035812416417684,starting d18Ow = 5 per mil
48.5,10,34.15539357271837,starting d18Ow = 10 per mil
49,-15,8.469746139465656,starting d18Ow = -15 per mil
49,-10,13.588881906671077,starting d18Ow = -10 per mil
49,-5,18.708017673876498,starting d18Ow = -5 per mil
49,0,23.82715344108192,starting d18Ow = 0 per mil
49,5,28.946289208287226,starting d18Ow = 5 per mil
49,10,34.06542497549276,starting d18Ow = 10 per mil
49.5,-15,8.382284026195066,starting d18Ow = -15 per mil
49.5,-10,13.500975823282374,starting d18Ow = -10 per mil
49.5,-5,18.619667620369682,starting d18Ow = -5 per mil
49.5,0,23.73835941745699,starting d18Ow = 0 per mil
49.5,5,28.8570512145443,starting d18Ow = 5 per mil
49.5,10,33.975743011631494,starting d18Ow = 10 per mil
50,-15,8.295100117972197,starting d18Ow = -15 per mil
50,-10,13.413349357149627,starting d18Ow = -10 per mil
50,-5,18.53159859632717,starting d18Ow = -5 per mil
50,0,23.649847835504715,starting d18Ow = 0 per mil
