taxon,specimen_id,analysis_id,lmz,published_age_Ma,within_specimen_height_mm,d13Ccarb_VPDB,d18Ocarb_VSMOW,d18Ophosphate_VSMOW,regional_setting,possible_section,source,dataset,proxy_type,geographic_scope,stratigraphic_section,section_note
Coryphodon,88268,88268-1,Wa-6,53.01,17.9,13.5,19.9,15.2,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,96744,96744-8,Wa-6,53.01,42,NA,NA,15.3,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,96744,96744-7,Wa-6,53.01,35.5,NA,NA,14.7,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,96744,96744-6,Wa-6,53.01,29.5,12.6,21.3,15.7,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,96744,96744-5,Wa-6,53.01,24,11.5,20.9,15.3,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,96744,96744-4,Wa-6,53.01,20,11.3,20.4,14.1,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,96744,96744-3,Wa-6,53.01,15,11.7,19.7,14.4,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,96744,96744-2,Wa-6,53.01,9,12.1,19,13.3,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,96744,96744-1,Wa-6,53.01,3,13.9,18.6,13.2,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88232,88232-1,Wa-6,53.01,93,13.8,21.5,14.9,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88232,88232-2,Wa-6,53.01,78,14.3,18.8,15.1,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88232,88232-3,Wa-6,53.01,68,13,20.7,16.2,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
