Age_Ma,Harper2024_mean_CO2_ppm,Harper2024_CO2_lower95_ppm,Harper2024_CO2_upper95_ppm,Harper2024_mean_SST_C,Harper2024_SST_lower95_C,Harper2024_SST_upper95_C
54.683,1150.840683,791.9866948,1622.335206,36.51273493,35.56116043,37.28408363
54.66,1167.43759,797.8854664,1636.319565,36.51695962,35.56939642,37.25840288
54.644,1171.167902,798.0283246,1644.079828,36.42281056,35.49109182,37.15245339
54.62,1174.532865,806.0745113,1662.024716,36.73464993,35.79688504,37.47077996
54.604,1165.697694,805.70355730000006,1631.702589,36.87835931,35.9460826,37.64459828
54.603,1167.474054,806.0662209,1639.209716,36.50086305,35.58248097,37.21699422
54.579,1172.285548,811.2809057,1632.022349,37.50110029,36.53684555,38.24216552
54.563,1169.736585,820.65827,1622.839329,36.9951998,36.05899548,37.73849548
54.535,1166.443816,826.8205137,1588.091551,37.32618398,36.36269755,38.08123447
54.525,1160.539925,828.9469005,1577.209381,37.66622877,36.64166384,38.49551658
54.523,1157.447205,830.0250705,1570.530033,38.01436887,37.05160462,38.75232765
54.499,1141.964138,841.7485184,1515.383449,37.66913796,36.72509991,38.41806813
54.483,1128.60363,847.5371122,1467.593235,37.99622296,36.08995026,39.87123201
54.458,1105.537554,870.8904269,1388.046172,37.99475264,36.11311562,39.82069828
54.444,1087.711587,891.5642388,1320.003219,37.10008604,36.05605911,37.98551353
54.44,1081.727598,899.333421,1301.94491,37.33600792,36.37306594,38.06386664
